,country,Year,Inflation,Income
1,China,1961,15.3,986
2,China,1962,-0.115,1020
3,China,1963,-2.62,1120
4,China,1964,-0.362,1220
5,China,1965,0.87,1300
6,China,1966,-1.56,1280
7,China,1967,0.814,1230
8,China,1968,1.36,1140
9,China,1969,-3.79,1200
10,China,1970,-2.61,1290
11,China,1971,0.666,1310
12,China,1972,0.0742,1260
13,China,1973,0.208,1300
14,China,1974,0.278,1270
15,China,1975,-1.13,1300
16,China,1976,-0.106,1200
17,China,1977,1.09,1220
18,China,1978,1.68,1300
19,China,1979,3.6,1350
20,China,1980,3.75,1350
21,China,1981,2.36,1330
22,China,1982,-0.14,1400
23,China,1983,1.16,1410
24,China,1984,4.94,1500
25,China,1985,10.2,1540
26,China,1986,4.67,1560
27,China,1987,5.08,1600
28,China,1988,12.1,1590
29,China,1989,8.6,1510
30,China,1990,5.71,1420
31,China,1991,6.71,1540
32,China,1992,8.19,1730
33,China,1993,15.2,1950
34,China,1994,20.6,2180
35,China,1995,13.7,2390
36,China,1996,6.51,2600
37,China,1997,1.62,2810
38,China,1998,-0.9,3000
39,China,1999,-1.26,3210
40,China,2000,2.06,3450
41,China,2001,2.05,3710
42,China,2002,0.602,4020
43,China,2003,2.6,4400
44,China,2004,6.95,4820
45,China,2005,3.9,5340
46,China,2006,3.93,5980
47,China,2007,7.75,6800
48,China,2008,7.8,7410
49,China,2009,-0.21,8070
50,China,2010,6.88,8890
51,China,2011,8.08,9690
52,China,2012,2.33,10400
53,China,2013,2.16,11200
54,China,2014,1.03,11900
55,China,2015,-0.00294,12700
56,China,2016,1.41,13500
57,China,2017,4.23,14300
58,China,2018,3.5,15200
59,China,2019,1.29,16100
60,China,2020,0.672,16400
61,Germany,1961,NA,14700
62,Germany,1962,NA,15300
63,Germany,1963,NA,15800
64,Germany,1964,NA,16700
65,Germany,1965,NA,17600
66,Germany,1966,NA,18100
67,Germany,1967,NA,18300
68,Germany,1968,NA,19300
69,Germany,1969,NA,20600
70,Germany,1970,NA,21600
71,Germany,1971,7.62,22200
72,Germany,1972,4.53,23200
73,Germany,1973,6.3,24400
74,Germany,1974,7.28,24800
75,Germany,1975,5.67,24900
76,Germany,1976,3.31,26500
77,Germany,1977,3.1,27500
78,Germany,1978,3.55,28500
79,Germany,1979,4.28,29900
80,Germany,1980,5.45,30300
81,Germany,1981,4.18,30600
82,Germany,1982,4.58,30600
83,Germany,1983,2.81,31500
84,Germany,1984,1.99,32700
85,Germany,1985,2.12,33700
86,Germany,1986,3,34700
87,Germany,1987,1.28,35500
88,Germany,1988,1.69,36800
89,Germany,1989,2.88,3800
90,Germany,1990,3.4,36800
91,Germany,1991,3.09,38400
92,Germany,1992,5.31,38800
93,Germany,1993,3.88,38200
94,Germany,1994,2.05,38900
95,Germany,1995,1.98,39400
96,Germany,1996,0.602,39600
97,Germany,1997,0.273,40300
98,Germany,1998,0.688,41100
99,Germany,1999,0.343,41800
100,Germany,2000,-0.489,4300
101,Germany,2001,1.3,43700
102,Germany,2002,1.38,43500
103,Germany,2003,1.32,43200
104,Germany,2004,1.12,43700
105,Germany,2005,0.405,4400
106,Germany,2006,0.397,45800
107,Germany,2007,1.77,47200
108,Germany,2008,0.909,47700
109,Germany,2009,1.84,45100
110,Germany,2010,0.645,47100
111,Germany,2011,1.07,49800
112,Germany,2012,1.5,5000
113,Germany,2013,1.96,5000
114,Germany,2014,1.88,50900
115,Germany,2015,1.85,51200
116,Germany,2016,1.33,5200
117,Germany,2017,1.35,53100
118,Germany,2018,1.67,53600
119,Germany,2019,2.19,53800
120,Germany,2020,1.59,51100
121,Japan,1961,7.79,8100
122,Japan,1962,4.2,8720
123,Japan,1963,5.51,9340
124,Japan,1964,5.33,10300
125,Japan,1965,5.14,10800
126,Japan,1966,4.97,11800
127,Japan,1967,5.5,12900
128,Japan,1968,4.92,14400
129,Japan,1969,4.43,1600
130,Japan,1970,23,17400
131,Japan,1971,5.09,1800
132,Japan,1972,5.6,19200
133,Japan,1973,12.7,20400
134,Japan,1974,20.8,19800
135,Japan,1975,7.18,20100
136,Japan,1976,8.01,20700
137,Japan,1977,6.75,21300
138,Japan,1978,4.6,22200
139,Japan,1979,2.75,23200
140,Japan,1980,5.44,23600
141,Japan,1981,2.93,24100
142,Japan,1982,1.74,24600
143,Japan,1983,0.946,24900
144,Japan,1984,1.47,25700
145,Japan,1985,1.26,26600
146,Japan,1986,1.61,27200
147,Japan,1987,-0.158,28100
148,Japan,1988,0.625,29600
149,Japan,1989,2.11,30900
150,Japan,1990,2.61,32300
151,Japan,1991,2.93,33300
152,Japan,1992,1.67,33500
153,Japan,1993,0.568,33200
154,Japan,1994,0.266,33400
155,Japan,1995,-0.533,34200
156,Japan,1996,-0.496,35200
157,Japan,1997,0.504,35500
158,Japan,1998,-0.0451,3500
159,Japan,1999,-1.31,34800
160,Japan,2000,-1.38,35700
161,Japan,2001,-1.1,35800
162,Japan,2002,-1.46,35700
163,Japan,2003,-1.62,36200
164,Japan,2004,-1.1,3700
165,Japan,2005,-1.04,37600
166,Japan,2006,-0.883,38100
167,Japan,2007,-0.729,38700
168,Japan,2008,-0.981,38300
169,Japan,2009,-0.611,36200
170,Japan,2010,-1.9,37700
171,Japan,2011,-1.67,37700
172,Japan,2012,-0.762,38400
173,Japan,2013,-0.333,39200
174,Japan,2014,1.75,39400
175,Japan,2015,2.15,39900
176,Japan,2016,0.27,40200
177,Japan,2017,-0.229,41100
178,Japan,2018,-0.0979,41300
179,Japan,2019,0.641,41700
180,Japan,2020,NA,39800
181,United Kingdom,1961,3.39,16200
182,United Kingdom,1962,3.37,16300
183,United Kingdom,1963,1.59,16800
184,United Kingdom,1964,3.34,17600
185,United Kingdom,1965,5.59,17900
186,United Kingdom,1966,4.98,18200
187,United Kingdom,1967,2.77,18500
188,United Kingdom,1968,3.96,19200
189,United Kingdom,1969,6.04,19400
190,United Kingdom,1970,8.54,19900
191,United Kingdom,1971,7.99,20200
192,United Kingdom,1972,7.19,20900
193,United Kingdom,1973,8.41,22200
194,United Kingdom,1974,15.1,21900
195,United Kingdom,1975,25.8,21900
196,United Kingdom,1976,15.1,22400
197,United Kingdom,1977,13.7,22900
198,United Kingdom,1978,11.5,23800
199,United Kingdom,1979,14.1,24400
200,United Kingdom,1980,19.7,2400
201,United Kingdom,1981,11.6,23700
202,United Kingdom,1982,7.42,24100
203,United Kingdom,1983,5.12,24900
204,United Kingdom,1984,5.03,25500
205,United Kingdom,1985,5.51,26400
206,United Kingdom,1986,4.34,27400
207,United Kingdom,1987,5.44,28700
208,United Kingdom,1988,6.13,3000
209,United Kingdom,1989,7.94,30600
210,United Kingdom,1990,7.89,30700
211,United Kingdom,1991,6.42,30200
212,United Kingdom,1992,3.32,30300
213,United Kingdom,1993,2.73,30900
214,United Kingdom,1994,1.39,32100
215,United Kingdom,1995,11.3,32800
216,United Kingdom,1996,4.12,33500
217,United Kingdom,1997,-0.0687,34700
218,United Kingdom,1998,1.03,35900
219,United Kingdom,1999,0.936,3700
220,United Kingdom,2000,1.83,38100
221,United Kingdom,2001,1.12,39100
222,United Kingdom,2002,2.11,39800
223,United Kingdom,2003,2.37,4100
224,United Kingdom,2004,2.53,41700
225,United Kingdom,2005,2.7,42700
226,United Kingdom,2006,2.81,43600
227,United Kingdom,2007,2.7,44300
228,United Kingdom,2008,3.08,43800
229,United Kingdom,2009,1.62,41700
230,United Kingdom,2010,1.61,42100
231,United Kingdom,2011,2.07,42500
232,United Kingdom,2012,1.66,42800
233,United Kingdom,2013,1.78,43400
234,United Kingdom,2014,1.73,44200
235,United Kingdom,2015,0.661,44900
236,United Kingdom,2016,2.15,45400
237,United Kingdom,2017,1.94,4600
238,United Kingdom,2018,2.25,46300
239,United Kingdom,2019,2.15,46700
240,United Kingdom,2020,5.57,41900
241,United States,1961,1.35,20900
242,United States,1962,1.24,21800
243,United States,1963,1.09,22300
244,United States,1964,1.5,23300
245,United States,1965,1.92,24400
246,United States,1966,2.9,25700
247,United States,1967,3.15,2600
248,United States,1968,4.37,26900
249,United States,1969,4.96,27400
250,United States,1970,5.67,27100
251,United States,1971,5.07,27600
252,United States,1972,4.32,28700
253,United States,1973,5.48,29900
254,United States,1974,9,29500
255,United States,1975,9.26,29100
256,United States,1976,5.5,30300
257,United States,1977,6.21,31300
258,United States,1978,7.03,32700
259,United States,1979,8.3,33400
260,United States,1980,9.03,32900
261,United States,1981,9.46,33400
262,United States,1982,6.18,32400
263,United States,1983,3.92,33400
264,United States,1984,3.61,35400
265,United States,1985,3.16,36400
266,United States,1986,2.01,37300
267,United States,1987,2.47,38200
268,United States,1988,3.53,39400
269,United States,1989,3.92,40300
270,United States,1990,3.74,40400
271,United States,1991,3.38,39900
272,United States,1992,2.28,40700
273,United States,1993,2.37,41300
274,United States,1994,2.14,42400
275,United States,1995,2.1,4300
276,United States,1996,1.83,44100
277,United States,1997,1.72,45600
278,United States,1998,1.13,4700
279,United States,1999,1.44,48700
280,United States,2000,2.24,50200
281,United States,2001,2.19,50200
282,United States,2002,1.58,50600
283,United States,2003,1.86,51600
284,United States,2004,2.69,5300
285,United States,2005,3.11,54400
286,United States,2006,3.03,55400
287,United States,2007,2.69,55900
288,United States,2008,1.95,55300
289,United States,2009,0.762,53400
290,United States,2010,1.17,54400
291,United States,2011,2.09,54800
292,United States,2012,1.92,55600
293,United States,2013,1.75,56300
294,United States,2014,1.85,57300
295,United States,2015,0.953,58500
296,United States,2016,1.05,5900
297,United States,2017,1.88,60100
298,United States,2018,2.4,61500
299,United States,2019,1.79,62500
300,United States,2020,1.21,6000
